"Покупатель","Сумма","Название фильма","Дата платежа","Магазин"
Carlos Coughlin,8.99,Enemy Odds,2007-02-15 13:48:32,Магазин 1
Carlos Coughlin,5.99,Pollock Deliverance,2007-02-18 07:25:11,Магазин 1
Carlos Coughlin,2.99,Divide Monster,2007-02-20 03:06:11,Магазин 1
Russell Brinson,3.99,Lock Rear,2007-02-17 00:31:48,Магазин 2
Russell Brinson,2.99,Rugrats Shakespeare,2007-02-17 08:53:54,Магазин 2
Russell Brinson,3.99,Ending Crowds,2007-02-17 11:04:24,Магазин 1
Russell Brinson,2.99,Northwest Polish,2007-02-18 17:09:35,Магазин 1
Russell Brinson,4.99,Bubble Grosse,2007-02-18 18:34:31,Магазин 2
Russell Brinson,1.99,English Bulworth,2007-02-20 07:58:48,Магазин 1
Russell Brinson,1.99,Sorority Queen,2007-02-20 15:12:59,Магазин 2
Russell Brinson,4.99,Show Lord,2007-02-21 02:27:39,Магазин 2
Bobby Boudreau,3.99,Holy Tadpole,2007-02-15 14:59:34,Магазин 2
Bobby Boudreau,1.99,Ridgemont Submarine,2007-02-17 01:23:58,Магазин 2
Bobby Boudreau,2.99,Bear Graceland,2007-02-18 15:23:34,Магазин 1
Bobby Boudreau,4.99,Mulan Moon,2007-02-18 15:43:08,Магазин 2
Bobby Boudreau,2.99,Wrong Behavior,2007-02-21 16:35:33,Магазин 1
Victor Barkley,0.99,Club Graffiti,2007-02-18 13:56:13,Магазин 1
Victor Barkley,4.99,Hanover Galaxy,2007-02-18 18:52:18,Магазин 2
Victor Barkley,1.99,Sweethearts Suspects,2007-02-18 20:29:10,Магазин 2
Victor Barkley,2.99,Mask Peach,2007-02-18 22:25:10,Магазин 1
Victor Barkley,4.99,Requiem Tycoon,2007-02-20 17:00:24,Магазин 1
Martin Bales,7.99,Metropolis Coma,2007-02-16 20:50:43,Магазин 2
Martin Bales,2.99,Butterfly Chocolat,2007-02-18 02:13:16,Магазин 2
Martin Bales,2.99,Horn Working,2007-02-18 03:33:44,Магазин 1
Martin Bales,2.99,Labyrinth League,2007-02-18 07:42:20,Магазин 2
Martin Bales,7.99,Jingle Sagebrush,2007-02-19 05:41:38,Магазин 2
Martin Bales,2.99,Crazy Home,2007-02-20 14:31:25,Магазин 1
Ernest Stepp,0.99,None Spiking,2007-02-17 07:31:24,Магазин 1
Ernest Stepp,0.99,Highball Potter,2007-02-17 11:08:16,Магазин 2
Ernest Stepp,7.99,Name Detective,2007-02-18 13:26:15,Магазин 1
Ernest Stepp,5.99,Stagecoach Armageddon,2007-02-18 22:12:47,Магазин 2
Ernest Stepp,3.99,Motions Details,2007-02-20 03:35:50,Магазин 1
Ernest Stepp,9.99,Pelican Comforts,2007-02-20 14:24:31,Магазин 1
Ernest Stepp,4.99,Greatest North,2007-02-20 15:17:24,Магазин 1
Phillip Holm,2.99,Vacation Boondock,2007-02-16 15:09:45,Магазин 1
Phillip Holm,0.99,Encino Elf,2007-02-17 05:45:12,Магазин 1
Phillip Holm,0.99,Annie Identity,2007-02-20 15:40:12,Магазин 1
Todd Tan,3.99,Graduate Lord,2007-02-16 03:19:39,Магазин 1
Todd Tan,2.99,Maude Mod,2007-02-16 04:57:23,Магазин 1
Todd Tan,5.99,Gone Trouble,2007-02-16 20:01:16,Магазин 1
Todd Tan,0.99,Chainsaw Uptown,2007-02-19 13:48:05,Магазин 2
Todd Tan,2.99,Gangs Pride,2007-02-21 09:50:05,Магазин 1
Jesse Schilling,0.99,Tomatoes Hellfighters,2007-02-15 19:06:40,Магазин 2
Jesse Schilling,0.99,Chainsaw Uptown,2007-02-15 19:11:34,Магазин 1
Jesse Schilling,0.99,Unforgiven Zoolander,2007-02-17 14:40:12,Магазин 2
Jesse Schilling,0.99,Juggler Hardly,2007-02-17 17:21:47,Магазин 2
Jesse Schilling,5.99,Campus Remember,2007-02-20 07:03:43,Магазин 2
Jesse Schilling,4.99,Airplane Sierra,2007-02-21 12:19:54,Магазин 2
Craig Morrell,6.99,Forrester Comancheros,2007-02-15 06:28:39,Магазин 1
Craig Morrell,0.99,Banger Pinocchio,2007-02-17 20:39:02,Магазин 1
Craig Morrell,5.99,Scalawag Duck,2007-02-19 00:20:47,Магазин 1
Craig Morrell,4.99,Prejudice Oleander,2007-02-19 11:36:45,Магазин 1
Craig Morrell,7.99,Airplane Sierra,2007-02-20 19:40:16,Магазин 1
Alan Kahn,4.99,Hollow Jeopardy,2007-02-16 16:19:27,Магазин 2
Alan Kahn,4.99,Ladybugs Armageddon,2007-02-17 06:27:05,Магазин 2
Alan Kahn,3.99,Chill Luck,2007-02-19 01:29:55,Магазин 2
Shawn Heaton,5.99,Bear Graceland,2007-02-15 23:39:51,Магазин 2
Shawn Heaton,2.99,Fantasia Park,2007-02-16 13:58:27,Магазин 1
Shawn Heaton,2.99,Robbers Joon,2007-02-17 02:47:03,Магазин 2
Shawn Heaton,7.99,Vampire Whale,2007-02-18 09:09:45,Магазин 1
Shawn Heaton,5.99,Chamber Italian,2007-02-20 18:53:43,Магазин 2
Clarence Gamez,0.99,Mourning Purple,2007-02-15 02:46:36,Магазин 1
Clarence Gamez,0.99,Feud Frogmen,2007-02-17 05:20:22,Магазин 1
Clarence Gamez,2.99,Carrie Bunch,2007-02-17 13:06:37,Магазин 1
Clarence Gamez,2.99,Fantasy Troopers,2007-02-19 11:28:28,Магазин 1
Clarence Gamez,2.99,Mile Mulan,2007-02-20 19:50:39,Магазин 1
Sean Douglass,6.99,Lolita World,2007-02-15 23:06:33,Магазин 1
Sean Douglass,2.99,Clash Freddy,2007-02-16 16:20:20,Магазин 2
Sean Douglass,2.99,Hunting Musketeers,2007-02-18 05:58:09,Магазин 1
Sean Douglass,4.99,Rush Goodfellas,2007-02-20 00:29:11,Магазин 2
Philip Causey,6.99,Greatest North,2007-02-16 05:10:01,Магазин 2
Philip Causey,1.99,Midnight Westward,2007-02-17 03:56:54,Магазин 2
Philip Causey,2.99,Heaven Freedom,2007-02-18 01:45:20,Магазин 1
Philip Causey,4.99,Forward Temple,2007-02-18 07:52:48,Магазин 2
Philip Causey,2.99,Outbreak Divine,2007-02-20 08:18:42,Магазин 1
Chris Brothers,4.99,Coma Head,2007-02-15 09:31:11,Магазин 1
Johnny Turpin,0.99,Alaska Phantom,2007-02-15 05:58:48,Магазин 1
Johnny Turpin,0.99,Celebrity Horn,2007-02-16 01:14:53,Магазин 1
Johnny Turpin,0.99,Reunion Witches,2007-02-16 04:42:29,Магазин 1
Johnny Turpin,4.99,Frisco Forrest,2007-02-20 10:20:25,Магазин 2
Johnny Turpin,0.99,Graffiti Love,2007-02-21 06:33:17,Магазин 2
Johnny Turpin,6.99,Closer Bang,2007-02-21 13:06:21,Магазин 1
Earl Shanks,1.99,Cheaper Clyde,2007-02-15 12:59:31,Магазин 1
Earl Shanks,4.99,Thin Sagebrush,2007-02-15 13:56:49,Магазин 1
Earl Shanks,6.99,Miracle Virtual,2007-02-15 15:26:24,Магазин 2
Jimmy Schrader,5.99,Edge Kissing,2007-02-16 16:36:14,Магазин 1
Jimmy Schrader,1.99,Taxi Kick,2007-02-20 10:18:56,Магазин 2
Antonio Meek,2.99,Window Side,2007-02-15 02:19:02,Магазин 2
Antonio Meek,6.99,Bucket Brotherhood,2007-02-17 16:03:36,Магазин 1
Antonio Meek,9.99,Hall Cassidy,2007-02-20 18:24:13,Магазин 1
Danny Isom,2.99,Worst Banger,2007-02-20 05:57:41,Магазин 1
Danny Isom,5.99,Willow Tracy,2007-02-20 10:46:57,Магазин 2
Bryan Hardison,0.99,Anaconda Confessions,2007-02-15 12:33:58,Магазин 1
Bryan Hardison,3.99,Mockingbird Hollywood,2007-02-17 04:04:33,Магазин 1
Bryan Hardison,6.99,Cincinatti Whisperer,2007-02-17 04:34:36,Магазин 1
Luis Yanez,4.99,Speed Suit,2007-02-14 23:53:34,Магазин 2
Luis Yanez,4.99,Holes Brannigan,2007-02-18 20:29:16,Магазин 2
Luis Yanez,2.99,Saints Bride,2007-02-20 02:10:53,Магазин 2
Mike Way,4.99,Innocent Usual,2007-02-15 02:03:42,Магазин 2
Mike Way,8.99,Innocent Usual,2007-02-15 04:06:35,Магазин 1
Mike Way,3.99,Expendable Stallion,2007-02-18 20:06:52,Магазин 1
Mike Way,4.99,Boogie Amelie,2007-02-20 03:10:07,Магазин 2
Mike Way,6.99,Camelot Vacation,2007-02-20 11:19:27,Магазин 2
Mike Way,5.99,Working Microcosmos,2007-02-21 10:07:11,Магазин 1
Stanley Scroggins,2.99,Tights Dawn,2007-02-15 20:48:03,Магазин 2
Stanley Scroggins,4.99,Bird Independence,2007-02-16 22:08:00,Магазин 2
Stanley Scroggins,4.99,Igby Maker,2007-02-19 12:58:01,Магазин 2
Stanley Scroggins,2.99,Operation Operation,2007-02-20 04:51:27,Магазин 1
Leonard Schofield,4.99,State Wasteland,2007-02-15 08:51:34,Магазин 1
Leonard Schofield,0.99,Notorious Reunion,2007-02-17 02:27:02,Магазин 2
Leonard Schofield,5.99,Secret Groundhog,2007-02-17 07:03:23,Магазин 1
Leonard Schofield,3.99,Slipper Fidelity,2007-02-19 09:06:20,Магазин 2
Leonard Schofield,4.99,Others Soup,2007-02-21 01:21:43,Магазин 2
Leonard Schofield,5.99,High Encino,2007-02-21 01:54:03,Магазин 1
Nathan Runyon,4.99,Forrester Comancheros,2007-02-17 18:26:12,Магазин 1
Nathan Runyon,3.99,High Encino,2007-02-17 21:19:02,Магазин 2
Nathan Runyon,2.99,Dalmations Sweden,2007-02-18 03:00:07,Магазин 2
Nathan Runyon,0.99,Coast Rainbow,2007-02-18 08:36:33,Магазин 2
Nathan Runyon,0.99,Alter Victory,2007-02-19 03:33:29,Магазин 2
Nathan Runyon,7.99,Pulp Beverly,2007-02-20 21:32:46,Магазин 2
Nathan Runyon,4.99,Godfather Diary,2007-02-21 06:15:24,Магазин 1
Dale Ratcliff,2.99,Flatliners Killer,2007-02-16 11:33:08,Магазин 2
Dale Ratcliff,0.99,Kane Exorcist,2007-02-19 04:22:12,Магазин 2
Manuel Murrell,4.99,Ghost Groundhog,2007-02-18 19:31:34,Магазин 2
Manuel Murrell,2.99,Sweethearts Suspects,2007-02-19 02:09:36,Магазин 1
Manuel Murrell,2.99,Comforts Rush,2007-02-19 13:32:30,Магазин 2
Rodney Moeller,5.99,Kick Savannah,2007-02-15 02:14:36,Магазин 2
Rodney Moeller,8.99,Memento Zoolander,2007-02-18 07:14:25,Магазин 2
Curtis Irby,2.99,Others Soup,2007-02-15 21:26:00,Магазин 1
Curtis Irby,2.99,Sea Virgin,2007-02-17 15:02:25,Магазин 2
Curtis Irby,4.99,African Egg,2007-02-18 03:49:38,Магазин 2
Curtis Irby,5.99,Pulp Beverly,2007-02-18 14:39:12,Магазин 1
Curtis Irby,0.99,Gandhi Kwai,2007-02-20 06:24:26,Магазин 2
Curtis Irby,4.99,Clash Freddy,2007-02-21 01:41:45,Магазин 1
Norman Currier,0.99,Alter Victory,2007-02-17 09:00:03,Магазин 1
Norman Currier,2.99,Cowboy Doom,2007-02-17 09:48:09,Магазин 1
Norman Currier,0.99,Polish Brooklyn,2007-02-19 12:48:39,Магазин 2
Allen Butterfield,2.99,Remember Diary,2007-02-21 05:27:37,Магазин 2
Marvin Yee,5.99,Family Sweet,2007-02-17 19:29:10,Магазин 2
Marvin Yee,4.99,Rage Games,2007-02-19 00:52:02,Магазин 2
Vincent Ralston,4.99,Vampire Whale,2007-02-18 03:22:55,Магазин 1
Vincent Ralston,9.99,West Lion,2007-02-19 01:38:12,Магазин 1
Vincent Ralston,5.99,Doubtfire Labyrinth,2007-02-21 06:51:31,Магазин 2
Glenn Pullen,4.99,Seabiscuit Punk,2007-02-17 00:30:03,Магазин 2
Glenn Pullen,2.99,Driver Annie,2007-02-20 23:29:55,Магазин 2
Jeffery Pinson,2.99,Giant Troopers,2007-02-14 21:21:59,Магазин 2
Jeffery Pinson,4.99,Life Twisted,2007-02-15 10:55:45,Магазин 2
Jeffery Pinson,0.99,Taxi Kick,2007-02-16 00:31:10,Магазин 1
Jeffery Pinson,2.99,Married Go,2007-02-16 03:59:24,Магазин 2
Jeffery Pinson,0.99,Groove Fiction,2007-02-16 16:40:43,Магазин 2
Travis Estep,3.99,Wait Cider,2007-02-17 04:32:42,Магазин 1
Jeff East,2.99,Metal Armageddon,2007-02-19 19:00:45,Магазин 2
Jeff East,2.99,Menagerie Rushmore,2007-02-20 04:11:31,Магазин 1
Jeff East,2.99,Greek Everyone,2007-02-20 06:12:53,Магазин 1
Chad Carbone,2.99,Club Graffiti,2007-02-19 17:21:03,Магазин 1
Jacob Lance,3.99,Drumline Cyclone,2007-02-19 10:10:30,Магазин 2
Jacob Lance,0.99,Straight Hours,2007-02-19 11:57:37,Магазин 2
Jacob Lance,0.99,Packer Madigan,2007-02-19 13:30:46,Магазин 1
Lee Hawks,4.99,Lies Treatment,2007-02-16 11:08:17,Магазин 1
Lee Hawks,2.99,Married Go,2007-02-18 15:19:07,Магазин 1
Lee Hawks,4.99,Escape Metropolis,2007-02-20 20:31:20,Магазин 2
Melvin Ellington,0.99,Grapes Fury,2007-02-16 22:31:10,Магазин 1
Melvin Ellington,4.99,Town Ark,2007-02-17 02:54:49,Магазин 1
Melvin Ellington,2.99,Fantasia Park,2007-02-19 14:50:33,Магазин 2
Melvin Ellington,5.99,Rock Instinct,2007-02-19 16:46:38,Магазин 2
Alfred Casillas,3.99,Shootist Superfly,2007-02-15 20:36:32,Магазин 2
Alfred Casillas,0.99,Splendor Patton,2007-02-16 20:23:06,Магазин 2
Alfred Casillas,6.99,Bucket Brotherhood,2007-02-19 04:35:51,Магазин 2
Alfred Casillas,6.99,Secretary Rouge,2007-02-19 15:33:01,Магазин 2
Alfred Casillas,8.99,Torque Bound,2007-02-20 12:49:57,Магазин 2
Kyle Spurlock,4.99,Queen Luke,2007-02-20 11:07:15,Магазин 2
Kyle Spurlock,6.99,Harry Idaho,2007-02-20 20:00:58,Магазин 1
Kyle Spurlock,0.99,Hours Rage,2007-02-21 14:26:18,Магазин 2
Francis Sikes,6.99,Heavyweights Beast,2007-02-21 04:04:18,Магазин 1
Bradley Motley,6.99,Scalawag Duck,2007-02-16 12:38:41,Магазин 1
Bradley Motley,7.99,Flatliners Killer,2007-02-16 22:14:25,Магазин 1
Bradley Motley,2.99,Dream Pickup,2007-02-18 00:40:04,Магазин 1
Bradley Motley,0.99,Alter Victory,2007-02-19 17:53:20,Магазин 1
Bradley Motley,0.99,Mars Roman,2007-02-21 01:28:37,Магазин 1
Jesus Mccartney,5.99,Werewolf Lola,2007-02-15 10:54:47,Магазин 1
Jesus Mccartney,3.99,Crooked Frogmen,2007-02-16 06:21:21,Магазин 1
Jesus Mccartney,5.99,Brotherhood Blanket,2007-02-16 07:45:33,Магазин 1
Jesus Mccartney,1.99,United Pilot,2007-02-16 23:41:24,Магазин 2
Jesus Mccartney,0.99,Factory Dragon,2007-02-18 18:47:08,Магазин 1
Herbert Kruger,3.99,Chicken Hellfighters,2007-02-15 02:18:29,Магазин 1
Herbert Kruger,2.99,Carrie Bunch,2007-02-15 19:21:52,Магазин 2
Herbert Kruger,3.99,Pizza Jumanji,2007-02-16 04:39:39,Магазин 2
Herbert Kruger,2.99,Wardrobe Phantom,2007-02-19 10:30:25,Магазин 1
Herbert Kruger,0.99,Harper Dying,2007-02-21 12:19:38,Магазин 1
Frederick Isbell,5.99,Newton Labyrinth,2007-02-16 17:48:50,Магазин 2
Frederick Isbell,2.99,Gleaming Jawbreaker,2007-02-16 18:44:41,Магазин 1
Frederick Isbell,7.99,Werewolf Lola,2007-02-17 03:58:25,Магазин 1
Frederick Isbell,2.99,Rollercoaster Bringing,2007-02-21 14:46:04,Магазин 2
Ray Houle,0.99,Jungle Closer,2007-02-15 00:55:34,Магазин 1
Ray Houle,2.99,Murder Antitrust,2007-02-15 06:21:18,Магазин 1
